CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_Group,Frequency,OrderHike_Cat,WarehouseToHome_Bin,RecencyGroup,Recency,NumberAddress,Cashback_Cat,Satisfaction_Category,Segment
50011,1,4.0,Mobile Phone,1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,0,15.0,9.0,15.0,8.0,295.45,Onboarding (<1 Th),High,Medium,Far (15–20),Recent,Medium,Few Addresses (<= 3),Very High,unsatisfied,Need Attention
50012,1,11.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,153.81,Onboarding (<1 Th),Low,Low,Very Close (≤9),Very Recent,High,Many Addresses (7 =<),Medium,unsatisfied,Potential Loyalists
50013,1,0.0,Mobile Phone,1,11.0,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,2,1,13.0,2.0,2.0,2.0,134.41,Onboarding (<1 Th),Low,Low,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50014,1,0.0,Mobile Phone,1,15.0,Credit Card,Male,3.0,4,Mobile Phone,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88,Onboarding (<1 Th),Low,High,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50015,1,9.0,Mobile Phone,3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,0,16.0,0.0,4.0,7.0,196.19,Onboarding (<1 Th),Low,High,Far (15–20),Very Recent,High,Few Addresses (<= 3),High,unsatisfied,Potential Loyalists
50016,1,9.0,Mobile Phone,2,12.0,UPI,Male,3.0,3,Mobile Phone,5,Married,5,1,22.0,1.0,1.0,2.0,120.72999999999999,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50017,1,0.0,Computer,1,12.0,Debit Card,Female,3.0,4,Mobile Phone,2,Single,2,1,18.0,1.0,1.0,0.0,129.26,Onboarding (<1 Th),Low,High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50018,1,0.0,Mobile Phone,3,11.0,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,3.0,157.44,Onboarding (<1 Th),Low,Low,Close (10–14),Very Recent,High,Few Addresses (<= 3),Medium,unsatisfied,Potential Loyalists
50019,1,0.0,Computer,1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,1,24.0,1.0,1.0,6.0,160.74,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Medium,unsatisfied,Potential Loyalists
50020,1,19.0,Mobile Phone,1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,1,18.0,1.0,4.0,3.0,149.63,Stable (1 Th),Low,High,Far (15–20),Very Recent,High,Many Addresses (7 =<),Medium,satisfied,Potential Loyalists
50021,1,0.0,Mobile Phone,3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,1,18.0,6.0,7.0,7.0,161.72,Onboarding (<1 Th),Medium,High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Medium,unsatisfied,Loyal Customers
50022,1,20.0,Mobile Phone,1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,0,12.0,11.0,15.0,6.0,203.12,Stable (1 Th),High,Low,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Very High,unsatisfied,Champions
50023,1,9.0,Mobile Phone,3,28.0,E wallet,Male,2.0,3,Mobile Phone,3,Single,2,1,19.0,0.0,1.0,0.0,116.75,Onboarding (<1 Th),Low,Very High,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50024,1,0.0,Mobile Phone,3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,1,11.0,1.0,2.0,2.0,145.59,Onboarding (<1 Th),Low,Low,Very Far (>20),Very Recent,High,Medium Addresses (4-6),Low,unsatisfied,Potential Loyalists
50025,1,14.0,Computer,1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,0,15.0,0.0,1.0,3.0,206.5,Stable (1 Th),Low,Medium,Close (10–14),Very Recent,High,Few Addresses (<= 3),Very High,unsatisfied,Potential Loyalists
50026,1,0.0,Mobile Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,0,22.0,1.0,1.0,4.0,142.0,Onboarding (<1 Th),Low,Very High,Far (15–20),Very Recent,High,Many Addresses (7 =<),Low,satisfied,Potential Loyalists
50027,0,8.0,Mobile Phone,3,6.0,E wallet,Male,3.0,3,Fashion,4,Divorced,2,0,13.0,1.0,1.0,6.0,172.95,Onboarding (<1 Th),Low,Low,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),High,satisfied,Potential Loyalists
50028,0,9.0,Mobile Phone,3,12.0,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,20.0,0.0,4.0,5.0,123.06,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50029,0,18.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,0,18.0,1.0,1.0,15.0,123.47999999999999,Stable (1 Th),Low,High,Close (10–14),Moderate,Low,Many Addresses (7 =<),Low,satisfied,Hibernating
50030,0,5.0,Computer,3,14.0,E wallet,Female,2.0,3,Fashion,2,Single,2,0,14.0,2.0,3.0,7.0,189.98,Onboarding (<1 Th),Low,Medium,Close (10–14),Very Recent,High,Few Addresses (<= 3),High,unsatisfied,Potential Loyalists
50031,0,2.0,Computer,1,6.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,13.0,0.0,1.0,9.0,143.19,Onboarding (<1 Th),Low,Low,Very Close (≤9),Recent,Medium,Few Addresses (<= 3),Low,unsatisfied,Promising
50032,0,0.0,Mobile Phone,1,13.0,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,3,0,17.0,1.0,1.0,0.0,161.32,Onboarding (<1 Th),Low,High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Medium,unsatisfied,Potential Loyalists
50033,0,30.0,Mobile Phone,1,15.0,Credit Card,Female,3.0,4,Mobile Phone,4,Divorced,5,1,20.0,1.0,1.0,0.0,133.46,Loyal (>2 Th),Low,Very High,Far (15–20),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50034,0,13.0,Mobile Phone,3,10.0,E wallet,Male,3.0,4,Fashion,2,Divorced,8,0,11.0,2.0,2.0,11.0,208.55,Stable (1 Th),Low,Low,Close (10–14),Recent,Medium,Many Addresses (7 =<),Very High,unsatisfied,Promising
50035,0,9.0,Computer,3,8.0,E wallet,Female,3.0,3,Mobile Phone,3,Divorced,7,0,18.0,1.0,1.0,2.0,122.31,Onboarding (<1 Th),Low,High,Very Close (≤9),Very Recent,High,Many Addresses (7 =<),Low,unsatisfied,Potential Loyalists
50036,0,0.0,Mobile Phone,1,14.0,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,2,0,24.0,0.0,2.0,2.0,123.22999999999999,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50037,0,9.0,Computer,1,15.0,Credit Card,Male,2.0,3,Mobile Phone,4,Married,7,0,18.0,0.0,2.0,2.0,120.24000000000001,Onboarding (<1 Th),Low,High,Far (15–20),Very Recent,High,Many Addresses (7 =<),Low,satisfied,Potential Loyalists
50038,0,1.0,Mobile Phone,1,27.0,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,2,0,11.0,0.0,1.0,2.0,127.13,Onboarding (<1 Th),Low,Low,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50039,0,30.0,Mobile Phone,1,30.0,Debit Card,Male,2.0,2,Fashion,2,Married,4,1,16.0,1.0,1.0,4.0,194.39,Loyal (>2 Th),Low,High,Very Far (>20),Very Recent,High,Medium Addresses (4-6),High,unsatisfied,Potential Loyalists
50040,0,0.0,Computer,1,14.0,Credit Card,Male,3.0,4,Mobile Phone,3,Married,2,1,15.0,0.0,1.0,1.0,125.66,Onboarding (<1 Th),Low,Medium,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50041,0,23.0,Mobile Phone,1,17.0,Debit Card,Female,2.0,3,Others,4,Single,4,0,15.0,2.0,4.0,4.0,299.26,Stable (1 Th),Low,Medium,Far (15–20),Very Recent,High,Medium Addresses (4-6),Very High,satisfied,Potential Loyalists
50042,0,14.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,3,Mobile Phone,3,Married,5,0,12.0,1.0,1.0,8.0,124.50999999999999,Stable (1 Th),Low,Low,Close (10–14),Recent,Medium,Medium Addresses (4-6),Low,unsatisfied,Promising
50043,0,3.0,Mobile Phone,3,11.0,Debit Card,Female,2.0,3,Fashion,2,Divorced,3,0,12.0,2.0,7.0,4.0,194.19,Onboarding (<1 Th),Medium,Low,Close (10–14),Very Recent,High,Few Addresses (<= 3),High,unsatisfied,Loyal Customers
50044,0,11.0,Mobile Phone,3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,5,0,22.0,1.0,1.0,1.0,186.86,Onboarding (<1 Th),Low,Very High,Very Close (≤9),Very Recent,High,Medium Addresses (4-6),High,unsatisfied,Potential Loyalists
50045,0,5.0,Mobile Phone,1,12.0,Debit Card,Male,3.0,3,Mobile Phone,3,Single,4,0,20.0,0.0,1.0,4.0,130.38,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Low,unsatisfied,Potential Loyalists
50046,0,0.0,Mobile Phone,1,23.0,Cash on Delivery,Male,3.0,3,Mobile Phone,4,Divorced,1,1,16.0,1.0,1.0,1.0,130.58,Onboarding (<1 Th),Low,High,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50047,1,0.0,Computer,3,14.0,Cash on Delivery,Female,3.0,5,Mobile Phone,5,Single,1,0,21.0,1.0,1.0,0.0,123.25,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50048,0,9.0,Computer,1,9.0,Credit Card,Male,1.0,3,Mobile Phone,4,Single,5,0,12.0,4.0,7.0,2.0,120.88,Onboarding (<1 Th),Medium,Low,Very Close (≤9),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Loyal Customers
50049,0,3.0,Computer,1,15.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,2,0,11.0,0.0,6.0,10.0,130.72,Onboarding (<1 Th),Medium,Low,Far (15–20),Recent,Medium,Few Addresses (<= 3),Low,satisfied,New Customer
50050,0,18.0,Mobile Phone,3,10.0,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,5,1,11.0,0.0,1.0,3.0,150.06,Stable (1 Th),Low,Low,Close (10–14),Very Recent,High,Medium Addresses (4-6),Medium,satisfied,Potential Loyalists
50051,0,29.0,Mobile Phone,1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,18.0,1.0,2.0,2.0,142.57,Loyal (>2 Th),Low,High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50052,0,6.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,3,Mobile Phone,2,Single,1,0,14.0,0.0,1.0,2.0,125.0,Onboarding (<1 Th),Low,Medium,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50053,1,0.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,4,Mobile Phone,2,Single,2,0,22.0,0.0,1.0,0.0,111.02000000000001,Onboarding (<1 Th),Low,Very High,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50054,0,19.0,Mobile Phone,3,6.0,E wallet,Female,3.0,3,Fashion,5,Married,2,0,25.0,4.0,15.0,7.0,204.53,Stable (1 Th),High,Very High,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),Very High,satisfied,Champions
50055,0,9.0,Mobile Phone,1,15.0,Debit Card,Female,3.0,3,Mobile Phone,2,Single,2,0,12.0,1.0,2.0,1.0,122.88,Onboarding (<1 Th),Low,Low,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50056,0,4.0,Mobile Phone,1,18.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,9,1,23.0,1.0,1.0,2.0,139.29,Onboarding (<1 Th),Low,Very High,Far (15–20),Very Recent,High,Many Addresses (7 =<),Low,unsatisfied,Potential Loyalists
50057,0,9.0,Mobile Phone,1,33.0,Credit Card,Female,3.0,3,Mobile Phone,4,Single,3,0,15.0,1.0,1.0,2.0,123.11000000000001,Onboarding (<1 Th),Low,Medium,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50058,1,4.0,Mobile Phone,3,26.0,E wallet,Female,3.0,3,Mobile Phone,4,Single,2,1,22.0,0.0,1.0,2.0,131.4,Onboarding (<1 Th),Low,Very High,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50059,0,23.0,Mobile Phone,1,6.0,Credit Card,Male,2.0,4,Mobile Phone,3,Divorced,3,0,15.0,0.0,1.0,2.0,136.9,Stable (1 Th),Low,Medium,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50060,0,26.0,Mobile Phone,1,19.0,Credit Card,Female,2.0,2,Laptop & Accessory,5,Married,2,0,11.0,1.0,1.0,3.0,144.5,Loyal (>2 Th),Low,Low,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50061,0,6.0,Mobile Phone,1,20.0,Credit Card,Female,3.0,3,Mobile Phone,4,Divorced,2,0,13.0,0.0,1.0,6.0,127.56,Onboarding (<1 Th),Low,Low,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50062,0,13.0,Mobile Phone,1,10.0,Credit Card,Female,2.0,3,Others,3,Divorced,2,0,14.0,1.0,9.0,9.0,290.33,Stable (1 Th),Medium,Medium,Close (10–14),Recent,Medium,Few Addresses (<= 3),Very High,unsatisfied,New Customer
50063,0,28.0,Mobile Phone,1,20.0,Credit Card,Male,3.0,2,Others,4,Single,9,0,11.0,1.0,2.0,15.0,287.22,Loyal (>2 Th),Low,Low,Far (15–20),Moderate,Low,Many Addresses (7 =<),Very High,satisfied,Hibernating
50064,0,7.0,Computer,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,0,17.0,0.0,1.0,9.0,195.47,Onboarding (<1 Th),Low,High,Very Close (≤9),Recent,Medium,Few Addresses (<= 3),High,unsatisfied,Promising
50065,0,24.0,Mobile Phone,1,9.0,Credit Card,Female,3.0,3,Grocery,4,Single,4,0,18.0,0.0,2.0,0.0,237.33999999999997,Stable (1 Th),Low,High,Very Close (≤9),Very Recent,High,Medium Addresses (4-6),Very High,satisfied,Potential Loyalists
50066,0,25.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Others,3,Divorced,1,0,15.0,1.0,11.0,9.0,299.99,Loyal (>2 Th),High,Medium,Very Close (≤9),Recent,Medium,Few Addresses (<= 3),Very High,unsatisfied,Need Attention
50067,0,9.0,Mobile Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,4,Single,2,0,16.0,1.0,1.0,3.0,122.78999999999999,Onboarding (<1 Th),Low,High,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50068,1,0.0,Mobile Phone,1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,4,1,13.0,1.0,1.0,1.0,159.16,Onboarding (<1 Th),Low,Low,Very Far (>20),Very Recent,High,Medium Addresses (4-6),Medium,unsatisfied,Potential Loyalists
50069,0,9.0,Computer,1,13.0,Credit Card,Male,2.0,2,Mobile Phone,2,Married,5,0,14.0,0.0,2.0,2.0,120.88999999999999,Onboarding (<1 Th),Low,Medium,Close (10–14),Very Recent,High,Medium Addresses (4-6),Low,unsatisfied,Potential Loyalists
50070,0,18.0,Computer,1,8.0,Credit Card,Male,3.0,4,Grocery,2,Divorced,10,0,23.0,1.0,11.0,8.0,267.92,Stable (1 Th),High,Very High,Very Close (≤9),Recent,Medium,Many Addresses (7 =<),Very High,unsatisfied,Need Attention
50071,0,10.0,Mobile Phone,1,27.0,Debit Card,Male,3.0,2,Mobile Phone,5,Divorced,2,1,12.0,0.0,1.0,7.0,135.64,Onboarding (<1 Th),Low,Low,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50072,0,8.0,Computer,1,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Single,6,0,11.0,1.0,1.0,2.0,144.25,Onboarding (<1 Th),Low,Low,Very Close (≤9),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50073,0,15.0,Computer,1,27.0,Credit Card,Female,2.0,3,Laptop & Accessory,3,Married,3,0,16.0,0.0,1.0,2.0,152.65,Stable (1 Th),Low,High,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Medium,unsatisfied,Potential Loyalists
50074,0,11.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,10,0,14.0,0.0,1.0,0.0,165.53,Onboarding (<1 Th),Low,Medium,Very Close (≤9),Very Recent,High,Many Addresses (7 =<),High,unsatisfied,Potential Loyalists
50075,0,11.0,Mobile Phone,1,35.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,18.0,0.0,1.0,7.0,162.61,Onboarding (<1 Th),Low,High,Very Far (>20),Very Recent,High,Medium Addresses (4-6),Medium,unsatisfied,Potential Loyalists
50076,0,0.0,Computer,1,6.0,Cash on Delivery,Male,2.0,4,Laptop & Accessory,5,Divorced,6,0,19.0,0.0,2.0,0.0,142.98,Onboarding (<1 Th),Low,Very High,Very Close (≤9),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50077,0,22.0,Computer,1,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Married,2,1,15.0,0.0,1.0,7.0,168.04,Stable (1 Th),Low,Medium,Very Far (>20),Very Recent,High,Few Addresses (<= 3),High,unsatisfied,Potential Loyalists
50078,0,7.0,Computer,1,16.0,Credit Card,Male,2.0,3,Mobile Phone,3,Married,2,1,17.0,2.0,2.0,0.0,138.15,Onboarding (<1 Th),Low,High,Far (15–20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50079,0,13.0,Mobile Phone,1,25.0,Credit Card,Male,3.0,3,Laptop & Accessory,2,Divorced,9,1,15.0,1.0,3.0,7.0,127.41,Stable (1 Th),Low,Medium,Very Far (>20),Very Recent,High,Many Addresses (7 =<),Low,unsatisfied,Potential Loyalists
50080,1,1.0,Mobile Phone,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,1,19.0,0.0,1.0,0.0,166.73,Onboarding (<1 Th),Low,Very High,Very Far (>20),Very Recent,High,Many Addresses (7 =<),High,satisfied,Potential Loyalists
50081,1,0.0,Mobile Phone,3,33.0,E wallet,Female,2.0,3,Fashion,2,Divorced,2,0,22.0,1.0,1.0,9.0,176.39,Onboarding (<1 Th),Low,Very High,Very Far (>20),Recent,Medium,Few Addresses (<= 3),High,unsatisfied,Promising
50082,0,0.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,2,Mobile Phone,4,Married,2,1,16.0,0.0,2.0,2.0,123.28,Onboarding (<1 Th),Low,High,Close (10–14),Very Recent,High,Few Addresses (<= 3),Low,satisfied,Potential Loyalists
50083,0,9.0,Computer,1,24.0,Credit Card,Female,3.0,3,Mobile Phone,2,Single,2,0,13.0,1.0,1.0,7.0,121.53,Onboarding (<1 Th),Low,Low,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50084,0,13.0,Computer,1,15.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,10,0,14.0,1.0,1.0,2.0,148.76,Stable (1 Th),Low,Medium,Far (15–20),Very Recent,High,Many Addresses (7 =<),Medium,unsatisfied,Potential Loyalists
50085,0,19.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Fashion,5,Married,8,0,16.0,0.0,1.0,3.0,193.96,Stable (1 Th),Low,High,Very Close (≤9),Very Recent,High,Many Addresses (7 =<),High,satisfied,Potential Loyalists
50086,1,0.0,Mobile Phone,3,10.0,Credit Card,Male,2.0,5,Fashion,2,Divorced,2,0,11.0,7.0,9.0,8.0,204.0,Onboarding (<1 Th),Medium,Low,Close (10–14),Recent,Medium,Few Addresses (<= 3),Very High,unsatisfied,New Customer
50087,0,3.0,Computer,1,6.0,Debit Card,Male,2.0,4,Fashion,3,Single,2,0,22.0,2.0,5.0,8.0,184.74,Onboarding (<1 Th),Low,Very High,Very Close (≤9),Recent,Medium,Few Addresses (<= 3),High,unsatisfied,Promising
50088,0,0.0,Computer,3,26.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,2,0,14.0,1.0,1.0,7.0,199.81,Onboarding (<1 Th),Low,Medium,Very Far (>20),Very Recent,High,Few Addresses (<= 3),Very High,unsatisfied,Potential Loyalists
50089,0,24.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,4,Fashion,4,Divorced,6,0,16.0,1.0,4.0,3.0,224.89999999999998,Stable (1 Th),Low,High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Very High,satisfied,Potential Loyalists
50090,1,0.0,Mobile Phone,1,14.0,Cash on Delivery,Female,2.0,3,Mobile Phone,5,Single,6,1,11.0,1.0,1.0,4.0,126.57,Onboarding (<1 Th),Low,Low,Close (10–14),Very Recent,High,Medium Addresses (4-6),Low,satisfied,Potential Loyalists
50091,0,14.0,Mobile Phone,3,12.0,Debit Card,Female,3.0,3,Fashion,2,Single,4,1,18.0,0.0,2.0,0.0,235.91000000000003,Stable (1 Th),Low,High,Close (10–14),Very Recent,High,Medium Addresses (4-6),Very High,unsatisfied,Potential Loyalists
50092,1,0.0,Computer,3,32.0,E wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,0,15.0,0.0,1.0,1.0,166.96,Onboarding (<1 Th),Low,Medium,Very Far (>20),Very Recent,High,Medium Addresses (4-6),High,satisfied,Potential Loyalists
50093,1,9.0,Mobile Phone,1,6.0,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,1,0,14.0,0.0,1.0,5.0,120.58000000000001,Onboarding (<1 Th),Low,Medium,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),Low,unsatisfied,Potential Loyalists
50094,0,18.0,Computer,3,12.0,Credit Card,Female,2.0,4,Fashion,2,Single,7,0,12.0,12.0,12.0,8.0,188.65,Stable (1 Th),High,Low,Close (10–14),Recent,Medium,Many Addresses (7 =<),High,unsatisfied,Need Attention
50095,0,27.0,Mobile Phone,3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Divorced,3,0,14.0,1.0,1.0,5.0,159.4,Loyal (>2 Th),Low,Medium,Very Close (≤9),Very Recent,High,Few Addresses (<= 3),Medium,satisfied,Potential Loyalists
50096,0,9.0,Mobile Phone,1,11.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,9,0,16.0,0.0,3.0,7.0,159.14,Onboarding (<1 Th),Low,High,Close (10–14),Very Recent,High,Many Addresses (7 =<),Medium,satisfied,Potential Loyalists
50097,0,6.0,Mobile Phone,1,14.0,Credit Card,Female,2.0,4,Mobile Phone,4,Divorced,7,0,21.0,0.0,1.0,1.0,126.22,Onboarding (<1 Th),Low,Very High,Close (10–14),Very Recent,High,Many Addresses (7 =<),Low,satisfied,Potential Loyalists
